,Bulk modulus,elastic compliance,dielectric tensor,s/e,kv/e,inv(kv)/e,labels,task_id,space_groups,point_groups,crystal_structure
651,0.4333333333333330,3.983333333333330,15.147617333335700,0.029713858757709400,0.0032324699903784300,0.152346884457777,MgMoN2,mp-864954,P6_3/mmc,6/mmm,hexagonal
634,0.6444444444444440,9.466666666666670,10.211333333337200,0.10475417993149400,0.007131153093928000,0.151960971919806,Ge3N4,mp-13852,P6_3/m,6/m,hexagonal
817,1.4666666666666700,39.55,4.523000000000160,0.988044783036074,0.03664051449944140,0.150744678712836,HfVF6,mp-557938,Fm-3m,m-3m,cubic
25,0.8666666666666660,16.06666666666670,7.699097279390070,0.23579940547901400,0.01271947000509200,0.149867719808518,Al2O3,mp-754812,P-1,-1,triclinic
470,0.7111111111111110,11.666666666666700,9.59841133334428,0.13734225114762000,0.008371337212807330,0.146508620141624,AlCuO2,mp-3748,R-3m,-3m,trigonal
320,1.0666666666666700,11.950000000000000,6.610445333333330,0.20426498031333400,0.018232857378038200,0.14182100489851,SrCuO2,mp-37514,P4/mmm,4/mmm,tetragonal
312,0.48766350176754000,8.217720910598200,14.652000000000000,0.06337401276930400,0.0037607985625651800,0.139953201342104,WO3,mp-19390,Pm-3m,4/mmm,cubic
779,1.5333333333333300,41.25,4.867000000000090,0.9576776143728090,0.03559852142315090,0.133999160271927,ZrVF6,mp-557686,Fm-3m,m-3m,cubic
265,1.1333333333333300,21.433333333333300,6.6483333333333300,0.36427860231455700,0.01926201007573090,0.1327179154439420,FeF2,mp-556911,P4_2/mnm,4/mmm,tetragonal
539,0.6222222222222220,4.483333333333330,12.115208333346600,0.041814496553513000,0.005803251070623870,0.132654991389563,Mg(BeN)2,mp-11917,P-3m1,-3m,trigonal
493,0.7666666666666670,15.766666666666700,9.904795999994250,0.17986682977837800,0.008746167198525790,0.131688509898408,CrCuO2,mp-510625,R-3m,-3m,trigonal
699,0.711111111111111,20.400000000000000,10.725074333326800,0.21492482701028600,0.0074919329676788100,0.131117972360365,AlAgO2,mp-9631,P6_3/mmc,6/mmm,hexagonal
463,0.533333333333333,9.5,14.407308181412000,0.0745070705899489,0.004182853085751520,0.130142284484418,NiO,mp-19009,R-3m,-3m,trigonal
497,1.088888888888890,12.166666666666700,7.11667166666603,0.1931752172216790,0.01728874090203150,0.129044501412133,MgCO3,mp-5348,R-3c,-3m,trigonal
423,0.6851870783141410,8.124825948524170,11.406603333328300,0.08048490881850400,0.006787495494810930,0.127948293143511,MgGeO3,mp-3759,R-3,-3,trigonal
839,0.7333333333333330,5.75,10.77205166666670,0.060315113056391800,0.007692362244873160,0.126590217521518,MgO,mp-1265,Fm-3m,m-3m,cubic
683,0.7777777777777780,15.583333333333300,10.488496000011700,0.1678818989141470,0.008379132209618750,0.122583284172759,GaCuO2,mp-11019,P6_3/mmc,6/mmm,hexagonal
478,0.7777777777777780,15.600000000000000,10.501288333336100,0.16785672466597200,0.008368925018958700,0.122433957139603,GaCuO2,mp-4280,R-3m,-3m,trigonal
536,0.8111111111111110,26.36666666666670,10.155314333340900,0.29337195002754400,0.009024927244842280,0.121402122264312,CrAgO2,mp-19378,R-3m,-3m,trigonal
31,0.7555555555555550,9.516666666666670,10.938991333333300,0.09830244252760700,0.007804513825892900,0.120991906057339,ZnGeN2,mp-1029779,P2_1/c,2/m,monoclinic
713,0.7666666666666670,10.900000000000000,10.79566666666670,0.11408636966181800,0.008024423554195130,0.120821424591992,ZnO2,mp-8484,Pa-3,m-3,cubic
563,0.788888888888889,7.966666666666670,10.68574466667010,0.08424198331492160,0.008341953717377170,0.118625858407099,LiNbO3,mp-552588,R-3c,-3m,trigonal
87,0.7333333333333340,12.800000000000000,11.667674666666700,0.12396023414569700,0.007101888414597240,0.11687301905427,Mn2CrO4,mp-34139,C2/c,2/m,monoclinic
814,0.933333333333334,16.3,9.201081666666670,0.20017297708343900,0.011461847358560900,0.116445936493543,CsCaF3,mp-7104,Pm-3m,m-3m,cubic
601,0.8499800322285680,11.711989010154100,10.113925333723200,0.1308481667652180,0.009496109406158470,0.116324590811007,InBO3,mp-7027,R-3c,-3m,trigonal
666,0.6666666666666670,9.216666666666670,13.019858666661600,0.07998790835087270,0.005785743822847940,0.11520862387246,InGaO3,mp-8098,P6_3/mmc,6/mmm,hexagonal
568,0.811111111111111,9.650000000000000,10.78034266666880,0.10114664384438700,0.008501675302982410,0.114363406660591,Ni(AsO3)2,mp-19384,P-31m,-3m,trigonal
795,0.6000000000000000,3.35,14.922333333410100,0.0253667482818402,0.004543298199732570,0.111689414076759,Be2C,mp-1569,Fm-3m,m-3m,cubic
720,0.7333333333333340,12.0,12.3097493333378,0.11015108160794400,0.0067314549871521600,0.110776940026171,In2O3,mp-22598,Ia-3,m-3,cubic
787,1.666666666666670,76.10000000000000,5.493838666667610,1.5651843052233300,0.034279113123594500,0.109213254411772,CaPbF6,mp-20463,Fm-3m,m-3m,cubic
578,0.6444444444444440,8.016666666666670,14.266602666664300,0.06349360549220780,0.005104129062436660,0.108766198525794,FeBO3,mp-19097,R-3c,-3m,trigonal
838,1.0333333333333300,8.55,9.007120000000000,0.10725977836592100,0.012963170094906600,0.10744188325279,Mg3NF3,mp-7604,Pm-3m,m-3m,cubic
631,1.0666666666666700,21.1,8.820542333340060,0.27029866201635700,0.013664387337319800,0.106285981583742,FeF3,mp-558852,Pm-3m,-3m,cubic
743,3.494273065055980,89.6857397322528,2.6972153333330200,3.7572016462353400,0.1463854627460110,0.106102969713825,K3MoF6,mp-553896,Fm-3m,m-3m,cubic
317,1.1666666666666700,20.45,8.135,0.2840484896468150,0.01620488530992420,0.105364825709017,ZnF2,mp-1873,P4_2/mnm,4/mmm,tetragonal
399,1.3333333333333300,24.600000000000000,7.119000000000000,0.39045666764280800,0.021162963015870400,0.10535187526338,MnF2,mp-560902,P4_2/mnm,4/mmm,tetragonal
151,1.1444444444444400,21.45,8.375666666666670,0.28937742033183300,0.015439458323842900,0.104324400975086,ZnF2,mp-7709,Pbcn,mmm,orthorhombic
510,0.7000000000000000,19.03333333333330,13.711774333324700,0.15684761734176700,0.0057684762945308300,0.104185745319588,CuRhO2,mp-14116,R-3m,-3m,trigonal
504,0.9888888888888890,9.716666666666670,9.84249033333162,0.1115498618467880,0.011352701777431800,0.102741879423709,Li2NiO2,mp-19308,P-3m1,-3m,trigonal
593,0.8222222222222220,10.866666666666700,11.962179333334,0.10264617387190800,0.007766683912598360,0.101671792599455,Co(AsO3)2,mp-19292,P-31m,-3m,trigonal
515,0.8666666666666670,36.033333333333300,11.765786333340000,0.3460510817687480,0.008323152752994860,0.0980679166828458,YCuO2,mp-6972,R-3m,-3m,trigonal
824,1.1333333333333300,31.3,9.023333333359260,0.39195306581067400,0.014192123788671900,0.0977856972117404,CdF2,mp-241,Fm-3m,m-3m,cubic
188,2.1245064427667800,16.915251503845000,4.841407,0.39478768332053200,0.04958418599621720,0.097223299044671,SiO2,mp-560203,Pbcn,mmm,orthorhombic
709,1.0666666666666700,7.55,9.652565666666670,0.08838140802075190,0.012486556541563200,0.0971244363804204,Li3AlN2,mp-13944,Ia-3,m-3,cubic
828,1.4221276437829000,11.037712076388100,7.265149396461760,0.17166874851658600,0.022118249792120000,0.0967869651230652,Li2O,mp-1960,Fm-3m,m-3m,cubic
726,1.2333333333333300,29.800000000000000,8.383000000000000,0.40167382063916000,0.016624084299383600,0.0967208410844343,ScF3,mp-10694,R-3m,-3m,trigonal
61,0.5555555555555560,7.266666666666670,18.747666666666700,0.043797038496491900,0.0033483974385697200,0.0960119481535477,HfO2,mp-352,P2_1/c,2/m,monoclinic
108,0.7444444444444450,11.550000000000000,14.044105333335900,0.09292758169969600,0.005989560340432550,0.0956475012260878,CaPtO3,mp-4784,Cmcm,mmm,orthorhombic
541,0.8222222222222220,8.28333333333333,12.77538300001300,0.07326354663279420,0.007272303756977570,0.095199980792355,LiAlO2,mp-8001,R-3m,-3m,trigonal
557,1.188888888888890,17.033333333333300,8.894986333333090,0.21637699722286200,0.015102634509358300,0.094561302716687,MnCO3,mp-18814,R-3c,-3m,trigonal
781,1.466666666666670,18.100000000000000,7.242504666666670,0.28238818395601900,0.02288228378280820,0.094141214013464,KNiF3,mp-560976,Pm-3m,m-3m,cubic
460,0.9888888888888890,15.116666666666700,10.826853666669800,0.1577649408613740,0.01032052902364000,0.0934007225173131,ZnCO3,mp-9812,R-3c,-3m,trigonal
6,1.0000000000000000,13.616666666666700,10.766865666666700,0.14290197822162700,0.010494637323497700,0.0928775403129543,Ca3Al3N5,mp-1029921,P-1,-1,triclinic
584,0.9888888888888890,11.766666666666700,10.992977666647700,0.12094692587472900,0.010164566952644800,0.0919892667592906,NaRhO2,mp-8830,R-3m,-3m,trigonal
866,1.7000000000000000,22.5,6.424073666666670,0.39575711818932500,0.029901648929860100,0.0915673332281184,RbVF3,mp-556424,Pm-3m,m-3m,cubic
804,1.7000000000000000,16.150000000000000,6.478023333333330,0.2816999357924740,0.029652624820260400,0.0908047507471642,RbMgF3,mp-8402,Pm-3m,m-3m,cubic
707,1.1000000000000000,19.2,10.163333333333300,0.2134625967947260,0.012229627941364500,0.089448105190972,CdO2,mp-2310,Pa-3,m-3,cubic
490,1.2666666666666700,35.05,8.848849666652910,0.44756687327689400,0.016174551768447000,0.089217662628587,MgCN2,mp-9166,R-3m,-3m,trigonal
36,0.7003065742499040,18.7144459141557,16.050705484045000,0.13174664871078500,0.004930044130121260,0.0889646901909221,ZrO2,mp-755769,P-1,-1,triclinic
337,0.9000000000000000,16.8,12.685439466236100,0.1496444084415320,0.008016664737939240,0.0875894850997061,Mn3O4,mp-18759,C2/m,2/m,monoclinic
610,0.7444444444444450,9.45,15.508322000001400,0.06885313641085080,0.005424056601442680,0.0866169519880636,ScBO3,mp-8697,R-3c,-3m,trigonal
231,1.4372594893261100,23.9352750681888,8.05733348231845,0.3356632639194620,0.02015582481972820,0.0863522138825954,LiYF4,mp-3700,I4_1/a,4/m,tetragonal
723,1.333333333333330,12.35,8.743363000000000,0.15960451670469400,0.017231256864204400,0.085779350577118,Li7TaN4,mp-14753,Pa-3,m-3,cubic
529,1.1917672329571700,15.173672392774200,9.794051333324520,0.17505924719702500,0.013749464812151600,0.085673435712318,Ca(SbO3)2,mp-9125,P-31m,-3m,trigonal
300,1.5888888888888900,16.43333333333330,7.369715000000000,0.2519600585606800,0.02436124974589400,0.0853995886368237,SrHI,mp-24205,P4/nmm,4/mmm,tetragonal
675,1.0000000000000000,28.833333333333300,11.731788666600800,0.2777073350932020,0.009631468269128380,0.0852384941817864,YCuO2,mp-2918,P6_3/mmc,6/mmm,hexagonal
695,0.8777777777777780,28.316666666666700,13.444410333325700,0.2379891176212160,0.00737733580226644,0.0847371121591841,FeAgO2,mp-18966,P6_3/mmc,6/mmm,hexagonal
625,0.8777777777777780,28.36666666666670,13.444776333338600,0.23840285551882600,0.007377134972967980,0.0847348054057377,FeAgO2,mp-19225,R-3m,-3m,trigonal
363,1.3111111111111100,9.983333333333330,9.060614666666660,0.12450151619442900,0.016350783428984600,0.0841788214670183,Li6CrN4,mp-1029498,P4_2/nmc,4/mmm,tetragonal
587,0.6777777777777780,6.533333333333330,17.828666666688000,0.04140689648756820,0.004295613411125270,0.0827549173277385,Al4C3,mp-1591,R-3m,-3m,trigonal
659,0.8666666666666670,21.25,14.0167313333788,0.171304556418577,0.006986538771581180,0.082319203129651,ScCuO2,mp-3642,P6_3/mmc,6/mmm,hexagonal
252,1.1,9.6,11.056561666690300,0.09810877878787940,0.011241630902777900,0.0822218458591602,Mg2NF,mp-7589,I4_1/amd,4/mmm,tetragonal
456,1.0777777777777800,15.683333333333300,11.288410666667000,0.15698649815216900,0.010788303450769000,0.0821935947357185,Cd(SbO3)2,mp-8922,P-31m,-3m,trigonal
588,0.8555555555555560,18.583333333333300,14.28076399998110,0.147037768853658,0.006769451839600400,0.0818465432824683,FeCuO2,mp-510281,R-3m,-3m,trigonal
509,0.8333333333333340,11.85,14.682126666779100,0.09119816776115540,0.006413373260278160,0.081732028828985,YOF,mp-3637,R-3m,-3m,trigonal
815,1.7666666666666700,16.45,6.928000000000000,0.2682963426886390,0.028813994250249000,0.0817029064447251,KMgF3,mp-3448,Pm-3m,m-3m,cubic
849,1.7333333333333300,56.85,7.154380000000000,0.8978735842322210,0.027375799695148300,0.0806391437026099,Au2S,mp-947,Pn-3m,m-3m,cubic
647,1.288888888888890,24.166666666666700,9.637806666667420,0.28333176758334300,0.015111027604445000,0.080501933250939,CaO,mp-545512,P6_3/mmc,6/mmm,hexagonal
75,1.2333333333333300,9.566666666666670,10.090333336864000,0.10713018572140400,0.013811208612167000,0.0803552056946026,BeP2,mp-27148,C2/c,2/m,monoclinic
453,0.6111111111111110,8.633333333333340,20.36708133605860,0.04789679358942010,0.003390377924605030,0.0803435509174582,TiNiO3,mp-18732,R-3,-3,trigonal
192,0.5555555555555560,8.333333333333340,22.437,0.041967267713481400,0.0027978178475654300,0.080224628961091,PtO2,mp-1285,Pnnm,mmm,orthorhombic
517,0.8888888888888890,21.116666666666700,14.059275666665700,0.16971457752899400,0.0071439969493919900,0.080018347080807,ScCuO2,mp-4636,R-3m,-3m,trigonal
670,0.911111111111111,30.650000000000000,13.811580666664500,0.25075166411018600,0.007453919324645740,0.079466717249737,ScAgO2,mp-11022,P6_3/mmc,6/mmm,hexagonal
11,1.0888888888888900,15.33333333333330,11.565952000000000,0.14980003701077000,0.01063797364279380,0.0794026593693951,Sr3Al3N5,mp-1029733,P-1,-1,triclinic
486,0.877777777777778,24.81666666666670,14.43667364527140,0.19423748122861400,0.006870275807951880,0.0789129500549638,Hg(SbO3)2,mp-754065,P-31m,-3m,trigonal
405,1.3333333333333300,10.466666666666700,9.506633333333330,0.12440515565868200,0.015847790529768500,0.0788922822310038,Li6WN4,mp-3503,P4_2/nmc,4/mmm,tetragonal
94,1.1333333333333300,10.85,11.188587333357000,0.10957493238756600,0.011445615057380100,0.0788618719135237,NaNiO2,mp-19149,C2/m,2/m,monoclinic
225,1.5444444444444400,15.783333333333300,8.364486666666670,0.21321421939723400,0.020863623017399100,0.0774084579474282,Li5ReN4,mp-3838,Pmmn,mmm,orthorhombic
468,0.7888888888888890,9.633333333333330,16.454737000003700,0.06615190756645750,0.005417284241313130,0.0770359097081,LiCrO2,mp-18793,R-3m,-3m,trigonal
93,0.5777777777777780,5.95,22.526,0.0298462391982949,0.0028982342452125800,0.0768342906316803,P2Ir,mp-10155,P2_1/c,2/m,monoclinic
560,1.2985051051788300,22.462001558121900,10.130022999999400,0.2505501983662140,0.014484048130806900,0.076023158162128,CdCO3,mp-4385,R-3c,-3m,trigonal
256,2.433333333333330,53.6,5.465558333333330,1.1081204893933500,0.05030646500355390,0.075190653734905,Li2CN2,mp-9610,I4/mmm,4/mmm,tetragonal
81,0.6255867625435080,8.496087098705270,21.280000000000000,0.04511324443898550,0.003321793692618770,0.0751174481569042,ZrO2,mp-2858,P2_1/c,2/m,monoclinic
705,1.1333333333333300,8.6,11.77139233333330,0.08255195179228260,0.01087893938347910,0.0749573980877263,Li3GaN2,mp-3887,Ia-3,m-3,cubic
22,2.3777777777777800,34.93333333333330,5.638666666663720,0.7000359369597240,0.04764875652334000,0.0745851408720331,Li2CO3,mp-3054,C2/c,2/m,monoclinic
724,1.3333333333333300,11.1,10.075840000000000,0.12447967495867300,0.014952513508549300,0.0744354813097471,Li7VN4,mp-4604,Pa-3,m-3,cubic
622,0.9333333333333340,13.116666666666700,14.423888333372000,0.10275379243215800,0.007311578622872780,0.0742815353714052,LiVO2,mp-19340,R-3m,-3m,trigonal
710,1.3666666666666700,12.6,9.855431666666670,0.14446133479619200,0.0156690865784229,0.0742440657924676,Li7NbN4,mp-14827,Pa-3,m-3,cubic
688,0.8888888888888890,22.0,15.27175799998500,0.16277600170308700,0.006576808149619660,0.0736653894071072,ScAuO2,mp-11023,P6_3/mmc,6/mmm,hexagonal
65,0.8222222222222220,16.63333333333330,16.52066666396960,0.11376494249660100,0.005623651132096520,0.0736178654865483,Mn5O8,mp-18922,C2/m,2/m,monoclinic
17,0.8777777777777780,10.033333333333300,15.481666666691300,0.07322919460646800,0.00640654083489587,0.0735864252122274,Sb2O5,mp-1705,C2/c,2/m,monoclinic
708,0.6000000000000000,6.7,22.828,0.033163752711260500,0.0029698883025009400,0.0730097541031482,P2Pt,mp-730,Pa-3,m-3,cubic
793,2.1666666666666700,45.0,6.3838892055787200,0.7964965554647210,0.0383498341520051,0.0722973796498746,CaTiF6,mp-27315,R-3m,-3m,trigonal
259,1.3666666666666700,10.616666666666700,10.163834666666700,0.11802861729933600,0.015193636763807800,0.0719912652134017,Li6MoN4,mp-8804,P4_2/nmc,4/mmm,tetragonal
595,1.2555555555555600,13.550000000000000,11.068864666967700,0.1383225373508080,0.012817094481870700,0.0719550017959825,NaInO2,mp-5175,R-3m,-3m,trigonal
464,2.7888888888888900,12.833333333333300,4.99133333403723,0.29052240451864700,0.06313517189106520,0.0718376660213489,AlF3,mp-468,R-3c,-3m,trigonal
608,0.6888888888888890,7.916666666666660,20.246999999940200,0.04418129137184060,0.003844547459725070,0.0716952093263246,Ir2S3,mp-861979,R-3c,-3m,trigonal
5,1.677777777777780,31.433333333333300,8.319691333333340,0.4269135638460950,0.022786832145903300,0.071640457101841,Sr3B3N5,mp-1029490,P-1,-1,triclinic
498,0.7666666666666670,10.25,18.2263330835286,0.06354498653611000,0.004752958342538300,0.0715639190894472,MnO,mp-19006,R-3m,-3m,trigonal
414,0.7111111111111110,8.766666666666670,19.870646999997100,0.049851612991930700,0.004043730331411370,0.0707702169939512,MgTiO3,mp-3771,R-3,-3,trigonal
489,1.0666666666666700,12.433333333333300,13.275593000001600,0.10582551166229700,0.009078864271296240,0.0706183143758538,Li2MnO2,mp-19279,P-3m1,-3m,trigonal
592,2.888888888888890,48.73333333333330,4.914666666692800,1.1204404511131000,0.06641917858855600,0.070432822738471,NaHF2,mp-27837,R-3m,-3m,trigonal
652,1.5666666666666700,15.683333333333300,9.117333333367910,0.19436912038501000,0.01941625644653660,0.0700092723389153,Li2O2,mp-841,P6_3/mmc,6/mmm,hexagonal
750,1.6666666666666700,25.95,8.589164666666660,0.3413839999144480,0.021925754650895800,0.0698554543177539,KVF3,mp-557257,Pm-3m,m-3m,cubic
340,1.77082713453999,22.733616192310100,8.161649498181200,0.3147366462862590,0.024516301707704200,0.0691904080462973,NaYF4,mp-34081,I4_1/amd,4/mmm,tetragonal
327,0.9803201537719840,19.506599928532100,14.743446302726700,0.14949934634599200,0.007513212078766520,0.0691883631935602,BiOF,mp-753594,P4/nmm,4/mmm,tetragonal
717,1.2,13.200000000000000,12.086770666666700,0.12340148289916600,0.011218316627197000,0.0689459042713144,Li3ScN2,mp-542435,Ia-3,m-3,cubic
466,0.9888888888888890,10.433333333333300,14.737968999979400,0.07999119290332680,0.007581699859846740,0.0686143358733889,NaFeO2,mp-19359,R-3m,-3m,trigonal
553,1.744444444444440,45.88333333333340,8.399520999955420,0.6172444165354490,0.023467096112378100,0.068247749799823,CaCN2,mp-4124,R-3m,-3m,trigonal
155,1.011111111111110,11.633333333333300,14.608634,0.08998109895966900,0.00782070678637047,0.0677004426978587,CaSiN2,mp-1029506,Cmce,mmm,orthorhombic
440,2.9222222222222200,30.100000000000000,5.068720666669590,0.6710036254054500,0.06514357825087980,0.0675131548369114,NiPtF6,mp-558838,R-3,-3,trigonal
577,0.966666666666667,18.45,15.388879333410600,0.13547092790478200,0.007097844461135850,0.067222748077226,RbTlO2,mp-8176,R-3m,-3m,trigonal
687,0.8111111111111110,10.300000000000000,18.373792999999400,0.06334249046506860,0.0049881357108414400,0.0670997388687686,Sc2SO2,mp-7288,P6_3/mmc,6/mmm,hexagonal
449,0.6803839267059210,19.057938066102000,22.202794000159700,0.09698956489384000,0.0034626065413311900,0.0661970026151163,TiFeO3,mp-19417,R-3,-3,trigonal
643,0.8888888888888890,8.1,17.13582233333410,0.05341174876140620,0.005861371606189980,0.0656519411858952,LiBC,mp-9244,P6_3/mmc,6/mmm,hexagonal
775,2.129913462634890,24.97494751564240,7.268333333364340,0.3882634213974540,0.03311188092648320,0.064595639940275,K2NaAlF6,mp-6586,Fm-3m,m-3m,cubic
10,1.2777777777777800,16.566666666666700,12.139156333333300,0.1542067409747650,0.011893880088596900,0.0644697764953551,Ca4TiN4,mp-568469,P-1,-1,triclinic
233,2.0444444444444400,31.966666666666700,7.597342000000000,0.47543637376029700,0.03040677538126330,0.0643817844165249,RbAlF4,mp-5479,P4/mmm,4/mmm,tetragonal
195,0.688888888888889,8.916666666666670,22.639593666666700,0.04450313780008060,0.003438248652467290,0.064118328473496,NdGaO3,mp-3196,Pnma,mmm,orthorhombic
771,1.2666666666666700,95.35000000000000,12.360333332307500,0.871660254604452,0.011579475502523700,0.0638715528930756,HgF2,mp-8177,Fm-3m,m-3m,cubic
3,1.311111111111110,18.966666666666700,11.951542000000000,0.1793179639099690,0.012395735056459500,0.063817025820332,Ca4ZrN4,mp-1029660,P-1,-1,triclinic
556,1.4777777777777800,18.533333333333300,10.630986999852200,0.19698659763179600,0.015706964919082000,0.0636527661385265,K2Sn2O3,mp-7502,R-3m,-3m,trigonal
462,0.6777777777777780,8.716666666666670,23.49034033332160,0.04192932382643470,0.003260278844375420,0.0628092149849643,Hf2SeN2,mp-1029330,P-3m1,-3m,trigonal
302,2.377777777777780,29.400000000000000,6.7780309999860100,0.49011783780746100,0.03963915997384600,0.0620476282366397,K2MgF4,mp-31212,I4/mmm,4/mmm,tetragonal
366,0.8888888888888890,19.183333333333300,18.144336,0.11946473468372500,0.0055355799448004500,0.0620028200535969,YOF,mp-10219,P4/nmm,4/mmm,tetragonal
163,0.7111111111111110,10.700000000000000,22.69109733333330,0.05328255087278280,0.0035411041078484900,0.0619736445241991,HfMgN2,mp-1029834,Pnma,mmm,orthorhombic
144,1.0600925305182400,16.565284804382700,15.323318000000000,0.12215262997971800,0.007817136388165070,0.061560680380801,ZrO2,mp-754741,Pnma,mmm,orthorhombic
226,1.3,17.150000000000000,12.529868666666700,0.15465869267248800,0.011723399444561700,0.0613917663221131,Sr3(AlN2)2,mp-17129,Pnna,mmm,orthorhombic
586,2.0555555555555600,59.833333333333400,7.955440666669720,0.849837099981239,0.029195889228696200,0.0611514191193304,SrCN2,mp-12317,R-3m,-3m,trigonal
778,1.6333333333333300,21.000000000000000,10.035901000000000,0.23643929488066900,0.018389722935163200,0.0610054740435547,KZnF3,mp-5878,Pm-3m,m-3m,cubic
600,0.9888888888888890,8.716666666666660,16.61808699999860,0.059268800712686300,0.006723930227443060,0.0608515261146644,Li2SnN2,mp-1029385,P-3m1,-3m,trigonal
691,0.7111111111111110,10.216666666666700,23.183197333333200,0.049795789401010700,0.0034659385771230900,0.0606581559817062,Zr2SN2,mp-11583,P6_3/mmc,6/mmm,hexagonal
243,2.906932395325150,39.895455868121,5.695311000000000,0.791521501642653,0.05767322229196550,0.060401486090377,NaLiO,mp-755959,I4/mmm,4/mmm,tetragonal
452,0.7115749489817490,11.739241557811000,23.568827999961000,0.05628060812511340,0.0034114530021441300,0.0596267807803538,TiMnO3,mp-19082,R-3,-3,trigonal
602,1.6896908002561200,18.696691524356500,9.935126333332140,0.21264153472703500,0.0192172205714871,0.0595688706626155,Ba(SbO3)2,mp-9127,P-31m,-3m,trigonal
686,0.7666666666666670,9.866666666666670,21.9008956262975,0.050905570643201100,0.003955500421600080,0.0595568258186099,YScO3,mp-768479,P6_3/mmc,6/mmm,hexagonal
867,2.8229071284041200,41.41972522572680,5.949386999999430,0.7866684316822120,0.05361435671975150,0.0595430654253357,K2SiF6,mp-3042,Fm-3m,m-3m,cubic
480,2.1111111111111100,312.65,7.966407999946150,4.434581258712590,0.02994368708905560,0.0594601996947078,CaHgO2,mp-7041,R-3m,-3m,trigonal
102,0.5555555555555560,4.7,30.427666666666700,0.01745363692016090,0.002063077650137230,0.0591566885400347,P2Os,mp-2319,Pnnm,mmm,orthorhombic
13,1.588888888888890,19.91666666666670,10.643693000000000,0.21143702752351500,0.01686777960159700,0.059130851422587,Sr2NbN3,mp-17701,C2/c,2/m,monoclinic
261,1.1159196173297500,29.24946967232690,15.209949000063100,0.21729361628485000,0.008290140363201250,0.0589168243148171,Sr(CuO)2,mp-13900,I4_1/amd,4/mmm,tetragonal
479,0.9222222222222220,9.600000000000010,18.547706666671400,0.05848409090171000,0.005618263362085570,0.0584620712891718,NaNbN2,mp-7017,R-3m,-3m,trigonal
275,2.7111111111111100,38.43333333333330,6.382780333404350,0.6803852400281400,0.04799479576954790,0.0577886813816857,Rb2NiF4,mp-561317,I4/mmm,4/mmm,tetragonal
